@relation adult_test.data-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-R15-S1-P0.1

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute ' fnlwg' numeric
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute ' education-num' numeric
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain' numeric
@attribute ' capital-loss' numeric
@attribute ' hours-per-week' numeric
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute ' class' {' <=50K',' >50K',suspicious}

@data
32,' ?',13862,' HS-grad',9,' Never-married',' ?',' Not-in-family',' Amer-Indian-Eskimo',' Female',0,0,38,' United-States',' <=50K'
38,' Private',222573,' HS-grad',9,' Separated',' Machine-op-inspct',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
62,' Self-emp-not-inc',271464,' Masters',14,' Separated',' Farming-fishing',' Not-in-family',' White',' Male',0,0,30,' United-States',' <=50K'
24,' Private',411238,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' Black',' Female',0,0,40,' United-States',' <=50K'
39,' Private',186719,' Some-college',10,' Separated',' Craft-repair',' Unmarried',' White',' Female',0,0,25,' United-States',' <=50K'
20,' Private',139989,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
44,' Private',146659,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
26,' Private',331861,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,30,' United-States',' <=50K'
60,' Self-emp-not-inc',157588,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,99,' United-States',' <=50K'
66,' Private',154164,' Assoc-acdm',12,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,7,' ?',' <=50K'
33,' Private',227026,' Bachelors',13,' Never-married',' Craft-repair',' Unmarried',' White',' Female',0,0,40,' Nicaragua',' <=50K'
69,' Self-emp-not-inc',30951,' Assoc-voc',11,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,20,' United-States',' <=50K'
19,' Private',238144,' Some-college',10,' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,20,' United-States',' <=50K'
38,' Private',150057,' Bachelors',13,' Divorced',' Sales',' Own-child',' White',' Male',0,0,50,' United-States',' <=50K'
21,' Private',198996,' Some-college',10,' Never-married',' Machine-op-inspct',' Own-child',' White',' Female',0,0,30,' United-States',' <=50K'
34,' Private',154874,' Assoc-voc',11,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
28,' Private',267912,' Some-college',10,' Separated',' Adm-clerical',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
54,' Private',103580,' Bachelors',13,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
52,' Self-emp-inc',392502,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
